requirement_id,source_file,draft_source_section,reviewer_decision,reviewer_comment,reviewed_at
REQ-ESJN-2021-001,Упатства/Priracnik-za-koristenje-na-ESJN-za-Dogovorni-organi-nov2021.pdf,"Draft citation: pages 41, 174, 6 (keyword hits: пребар, оглас, досие)",,,
REQ-ESJN-2021-002,Упатства/Priracnik-za-koristenje-na-ESJN-za-Dogovorni-organi-nov2021.pdf,"Draft citation: pages 4, 9, 11 (keyword hits: презем, документ)",,,
REQ-ESJN-2021-003,Упатства/Priracnik-za-koristenje-na-ESJN-za-Dogovorni-organi-nov2021.pdf,"Draft citation: pages 25, 4, 13 (keyword hits: најава, корис, лозин)",,,
REQ-ESJN-2021-004,Упатства/Priracnik-za-koristenje-na-ESJN-za-Ekonomski-operatori-nov2021.pdf,"Draft citation: pages 69, 5, 8 (keyword hits: понуда, поднес, услов)",,,
REQ-ESJN-2021-005,Упатства/Priracnik-za-koristenje-na-ESJN-za-Ekonomski-operatori-nov2021.pdf,"Draft citation: pages 33, 59, 66 (keyword hits: прикач, прилог, upload)",,,
REQ-ESJN-2021-006,Упатства/Priracnik-za-koristenje-na-ESJN-za-Ekonomski-operatori-nov2021.pdf,"Draft citation: pages 32, 9, 19 (keyword hits: потврд, број)",,,
REQ-EPAZAR-2022-001,Упатства/Корисничко-упатство-за-Економски-оператори-еПазар.pdf,"Draft citation: pages 7, 11, 13 (keyword hits: епазар, оператор, каталог)",,,
REQ-EPAZAR-2022-002,Упатства/Корисничко-упатство-за-Економски-оператори-еПазар.pdf,"Draft citation: pages 17, 15, 18 (keyword hits: задолж, полиња, внес)",,,
REQ-EPAZAR-2022-003,Упатства/Корисничко-упатство-за-Економски-оператори-еПазар.pdf,Error handling and user guidance,,,
